Date,Stock,Company,Sector,Close Price,Daily Gain %,Week Gain %,Volume Spike (x avg),RSI (14d),52W High,52W Low,Dist from 52W High %,Sector Weekly Gain %,Market Cap,P/E Ratio,Revenue (Cr),Revenue QoQ %,Revenue YoY %,Net Profit (Cr),Profit QoQ %,Profit YoY %,Operating Profit (Cr),EBITDA Margin %,EPS,EPS Growth YoY %,Operating CF (Cr),Debt to Equity,ROE %,ROCE %,Growth Flags,News (Last 2 Days)
2026-07-07,DIACABS.NS,DIAMOND POWER INFRA LTD,Industrials,226.29,13.78,8.51,2.14,64.8,226.29,169.77,0.0,1.08,119248281600,75.43,695.87,46.78,108.46,60.61,21.91,690.9,84.72,12.17,1.15,666.67,N/A,N/A,N/A,5.99,Revenue +108.46% YoY | Revenue +46.78% QoQ | Profit +690.9% YoY | Profit +21.91% QoQ | EPS +666.67% YoY,No recent news
2026-07-07,SHAREINDIA.NS,SHARE IND. SECURITIES LTD,Financial Services,157.09,13.32,16.88,16.46,79.1,157.09,126.96,0.0,1.45,34375303168,10.64,199.46,36.86,66.24,57.83,-34.69,-29.44,121.89,61.11,2.61,-28.69,N/A,0.46,12.97,7.75,Revenue +66.24% YoY | Revenue +36.86% QoQ | EBITDA Margin 61.11%,No recent news
2026-07-07,NAUKRI.NS,INFO EDGE (I) LTD,Communication Services,1118.55,8.11,13.35,2.65,72.4,1118.55,925.95,0.0,0.0,724526694400,50.05,869.0,6.05,15.93,565.8,108.24,22.1,834.67,96.05,8.73,21.93,N/A,0.01,4.57,1.45,Profit +108.24% QoQ | EBITDA Margin 96.05%,No recent news
2026-07-07,LATENTVIEW.NS,LATENT VIEW ANALYTICS LTD,Industrials,299.6,6.68,7.04,2.85,47.3,326.5,264.25,-8.24,1.08,61994725376,31.37,288.62,3.82,24.31,52.75,5.21,-1.35,83.72,29.01,2.55,-1.54,N/A,0.02,12.17,6.29,EBITDA Margin 29.01%,"Two Trades for Today: An auto ancillary player for a rise of 7.2%, a mid-cap IT stock for an almost 7% gain
Announcement under Regulation 30 (LODR)-Updates on Acquisition
Announcement under Regulation 30 (LODR)-Newspaper Publication
Get multiple analysts' prediction on Latent View Analytics"
2026-07-07,RITES.NS,RITES LIMITED,Industrials,231.9,6.29,12.51,4.41,65.2,233.19,199.79,-0.55,1.08,111456821248,27.19,768.26,26.24,27.56,129.97,27.43,-2.06,203.15,26.44,2.7,-2.17,N/A,0.0,16.4,5.07,Revenue +27.56% YoY | Revenue +26.24% QoQ | Profit +27.43% QoQ | EBITDA Margin 26.44%,"RITES shares rocket 16% on Rs 175 crore consultancy order from Ambedkar University
India to resume train coach exports to Bangladesh, first shipment since Sheikh Hasina's ouster likely in July
Son emerges after father’s death, secures house keys, step uncle challenges it and prevails; HC says only civil court can decide property rights
RITES shares in focus after Q4 net profit declines; revenue jumps 27% YoY
Get multiple analysts' prediction on Rites"
